Edward Davey,eddaveykands,Liberal Democrats,Kingston and Surbiton,82406734,,,,,
Edward Miliband,edmilibandmp,Labour,,,,,1545,,
Grahame Morris,edpic,Labour,Easington,235189381,,,,,
Edward Vaizey,edvaizey,Conservative,Wantage,18096679,,,1905,,
Elliot Morley,elliotmorley,Labour,,23213075,,,1805,,
Emily Thornberry,emilythornberry,Labour,Islington South and Finsbury,164226176,,,,,
Emma Reynolds,emma4wolvo,Labour,Wolverhampton North East,299563990,,,,,
Eric Joyce,ericjoyce,Labour,Falkirk,22388326,,,1983,,
Eric Pickles,ericpickles,Conservative,Brentwood and Ongar,58836363,,,1449,,
Esther McVey,esthermcveymp,Conservative,Wirral West,24734991,,,,,
Fabian Hamilton,fabianhamilton,Labour,Leeds North East,64396655,,,,,
Frank Field,frankfieldteam,Labour,Birkenhead,20688804,,,1410,,
George Freeman,freeman_george,Conservative,Mid Norfolk,101712079,,,,,
Gavin Barwell,gavinbarwellmp,Conservative,Croydon Central,242943134,,,,,
Gavin Shuker,gavinshuker,Labour,Luton South,14567982,,,,,
Gemma Doyle,gemmawdmp,Labour,West Dunbartonshire,40238442,,,,,
Geoffrey Cox,geoffrey_cox,Conservative,Torridge and West Devon,103879974,,,,,
George Hollingbery,george4mvmp,Conservative,Meon Valley,42374586,,,,,
George Galloway,georgegalloway,Res,,15484198,,,1405,,
Geraint Davies,geraintdaviesmp,Labour,Swansea West,144791011,,,,,
Gerald Howarth,geraldhowarth,Conservative,Aldershot,108935576,,,,,
Michelle Gildernew,gildernewmp,Sinn Fein,Fermanagh and South Tyrone,127619354,,,,,
Gillian Merron,gillianmerron,Labour,,41817797,,,1686,,
Gisela Stuart,giselastuart,Labour,"Birmingham, Edgbaston",26584956,,,1411,,
Gloria De Piero,gloriadepieromp,Labour,Ashfield,162472533,,,,,
Graham Stuart,grahamstuart,Conservative,Beverley and Holderness,14395178,,,1406,,
Grant Shapps,grantshapps,Conservative,Welwyn Hatfield,14104027,,,1917,,
Gregg McClymont,greggmcclymont,Labour,"Cumbernauld, Kilsyth and Kirkintilloch East",185183285,,,,,
Greg Hands,greghands,Conservative,Chelsea and Fulham,125270251,,,,,
Greg Mulholland,gregmulholland1,Liberal Democrats,Leeds North West,28543847,,,1672,,
Andrew Gwynne,gwynnemp,Labour,Denton and Reddish,54351001,,,,,
Diane Abbott,hackneyabbott,Labour,Hackney North and Stoke Newington,153810216,,,,,
Robert Halfon,halfon4harlow,Conservative,Harlow,248293623,,,,,
Andrew Slaughter,hammersmithandy,Labour,Hammersmith,66078636,,,,,
Harriet Harman,harrietharman,Labour,Camberwell and Peckham,19977759,,,1472,,
Hazel Blears,hazelblearsmp,Labour,Salford,34343954,,,1802,,
Harriett Baldwin,hbaldwinmp,Conservative,West Worcestershire,19177609,,,,,
Heather Wheeler,heatherwheeler,Conservative,South Derbyshire,21744895,,,,,
Helen Grant,helengrant1,Conservative,Maidstone and The Weald,270887005,,,,,
Hywel Williams,hywelwilliamsmp,Plaid Cymru,Caernarfon,21188077,,,,,
Iain Stewart,iainastewart,Conservative,Milton Keynes South,100260784,,,,,
Ian Cawsey,iancawsey,Labour,,19345204,,,1452,,
Ian Murray,ianmurraymp,Labour,Edinburgh South,77981490,,,,,
Ian Swales,iswales,Liberal Democrats,Redcar,68198984,,,,,
Ivan Lewis,ivanlewis_mp,Labour,Bury South,249709671,,,,,
James Duddridge,jamesduddridge,Conservative,Rochford and Southend East,124170781,,,,,
James Gray,jamesgraymp,Conservative,North Wiltshire,86192099,,,,,
James Morris,jamesmorrismp,Conservative,Halesowen and Rowley Regis,155892458,,,,,
Jason McCartney,jasonmccartney,Conservative,Colne Valley,19619404,,,,,
James Brokenshire,jbrokenshire,Conservative,Hornchurch,92498317,,,1640,,
Jonathan Djanogly,jdjanogly,Conservative,Huntingdon,131120978,,,,,
Jenny Chapman,jennychapman,Labour,Darlington,20856796,,,,,
Jeremy Hunt,jeremy_hunt,Conservative,South West Surrey,112398730,,,,,
Jeremy Corbyn,jeremycorbyn,Labour,Islington North,117777690,,,,,
Jesse Norman,jesse_norman,Conservative,Hereford and South Herefordshire,78702900,,,,,
Julia Goldsworthy,jgoldsworthy,Liberal Democrats,,19483244,,,1581,,
Jim Knight,jimknightmp,Labour,,120045451,,,1548,,
Jim Murphy,jimmurphymp,Labour,Renfrewshire East,32522100,,,2010,,
James Purnell,jimpurnell,Labour,,69890262,,,1836,,
Jim Sheridan,jimsheridanmp,Labour,Paisley and Renfrewshire North,106397932,,,,,
John Denham,johndenhammp,Labour,"Southampton, Itchen",20600229,,,1827,,
John Glen,johnglenmp,Conservative,Salisbury,36664451,,,,,
John Leech,johnleechmcr,Liberal Democrats,"Manchester, Withington",106115066,,,,,
John McDonnell,johnmcdonnellmp,Labour,Hayes and Harlington,77234984,,,,,
John Prescott,johnprescott,Labour,,19335378,,,1646,,
John Redwood,johnredwood,Conservative,Wokingham,93880122,,,,,
John Robertson,johnrobertsonmp,Labour,Glasgow North West,110391388,,,,,
Jonathan Edwards,jonathanplaid,Plaid Cymru,Carmarthen East and Dinefwr,77240489,,,,,
Jo Swinson,joswinson,Liberal Democrats,East Dunbartonshire,14933304,,,1971,,
Tessa Jowell,jowellt,Labour,Dulwich and West Norwood,50303152,,,1555,,
Jamie Reed,jreedmp,Labour,Copeland,191111643,,,,,
Jonathan Reynolds,jreynoldsmp,Labour,Stalybridge and Hyde,18632946,,,,,
Julian Huppert,julianhuppert,Liberal Democrats,Cambridge,5715682,,,,,
John Woodcock,jwoodcockmp,Labour,Barrow and Furness,35305401,,,,,
Karen Buck,karenbuckmp,Labour,Regent&#039;s Park and Kensington North,110459587,,,,,
