Constituency Name,Party,Member Name,Twitter Screen Name
South Derbyshire,Conservative,Heather Wheeler,@HeatherWheeler
Maidstone and The Weald,Conservative,Helen Grant,@helengrant1
Ogmore,Labour,Huw Irranca-Davies,@HuwOgmoreMP
Caernarfon,Plaid Cymru,Hywel Williams,@HywelWilliamsMP
Milton Keynes South,Conservative,Iain Stewart,@iainastewart
Edinburgh South,Labour,Ian Murray,@IanMurrayMP
Redcar,Liberal Democrats,Ian Swales,@iswales
Bury South,Labour,Ivan Lewis,@IvanLewis_MP
Hornchurch,Conservative,James Brokenshire,@JBrokenshire
Rochford and Southend East,Conservative,James Duddridge,@JamesDuddridge
North Wiltshire,Conservative,James Gray,@JamesGrayMP
Halesowen and Rowley Regis,Conservative,James Morris,@JamesMorrisMP
Copeland,Labour,Jamie Reed,@jreedmp
Colne Valley,Conservative,Jason McCartney,@JasonMcCartney
Darlington,Labour,Jenny Chapman,@JennyChapman
Islington North,Labour,Jeremy Corbyn,@jeremycorbyn
South West Surrey,Conservative,Jeremy Hunt,@Jeremy_Hunt
Hereford and South Herefordshire,Conservative,Jesse Norman,@Jesse_Norman
Renfrewshire East,Labour,Jim Murphy,@jimmurphymp
Paisley and Renfrewshire North,Labour,Jim Sheridan,@JimSheridanMP
East Dunbartonshire,Liberal Democrats,Jo Swinson,@joswinson
"Southampton, Itchen",Labour,John Denham,@JohnDenhamMP
Salisbury,Conservative,John Glen,@JohnGlenMP
"Manchester, Withington",Liberal Democrats,John Leech,@johnleechmcr
Hayes and Harlington,Labour,John McDonnell,@johnmcdonnellMP
Wokingham,Conservative,John Redwood,@johnredwood
Glasgow North West,Labour,John Robertson,@JohnRobertsonMP
Warley,Labour,John Spellar,@spellar
Barrow and Furness,Labour,John Woodcock,@JWoodcockMP
Dagenham,Labour,Jon Cruddas,@JonCruddas
Huntingdon,Conservative,Jonathan Djanogly,@JDjanogly
Carmarthen East and Dinefwr,Plaid Cymru,Jonathan Edwards,@JonathanPlaid
Stalybridge and Hyde,Labour,Jonathan Reynolds,@jreynoldsMP
Cambridge,Liberal Democrats,Julian Huppert,@julianhuppert
Regent&#039;s Park and Kensington North,Labour,Karen Buck,@KarenBuckMP
Lincoln,Conservative,Karl McCartney,@karlmccartney
Stretford and Urmston,Labour,Kate Green,@KateGreenMP
Bristol East,Labour,Kerry McCarthy,@KerryMP
Cardiff West,Labour,Kevin Brennan,@KevinBrennanMP
Spelthorne,Conservative,Kwasi Kwarteng,@kwasikwarteng
South Thanet,Conservative,Laura Sandys,@LauraSandysMP
"Birmingham, Hodge Hill",Labour,Liam Byrne,@LiamByrneMP
Nottingham South,Labour,Lilian Greenwood,@LilianGreenwood
Halifax,Labour,Linda Riordan,@Linda_Riordan
Wigan,Labour,Lisa Nandy,@lisanandy
Leicester West,Labour,Liz Kendall,@leicesterliz
Corby,Conservative,Louise Bagshawe,@LouiseBagshawe
"Liverpool, Riverside",Labour,Louise Ellman,@LouiseEllman
"Liverpool, Wavertree",Labour,Luciana Berger,@lucianaberger
Hornsey and Wood Green,Liberal Democrats,Lynne Featherstone,@lfeatherstone
Gordon,Liberal Democrats,Malcolm Bruce,@malcolmbruce
Barking,Labour,Margaret Hodge,@margarethodge
Stourbridge,Conservative,Margot James,@margotjamesmp
Foyle,SDLP,Mark Durkan,@markdurkan
Wyre Forest,Conservative,Mark Garnier,@Mark4WyreForest
Hertford and Stortford,Conservative,Mark Prisk,@Mark_Prisk
Rochester and Strood,Conservative,Mark Reckless,@mark_reckless
Sherwood,Conservative,Mark Spencer,@MarkSpencerMP
Ceredigion,Liberal Democrats,Mark Williams,@mark4ceredigion
Cheltenham,Liberal Democrats,Martin Horwood,@MartinChelt
Wakefield,Labour,Mary Creagh,@marycreagh_mp
Brentford and Isleworth,Conservative,Mary Macleod,@MaryMacleodMP
West Suffolk,Conservative,Matthew Hancock,@torymatt
Barnsley East,Labour,Michael Dugher,@MichaelDugherMP
Northampton North,Conservative,Michael Ellis,@Michael_Ellis1
Lichfield,Conservative,Michael Fabricant,@Mike_Fabricant
Oldham West and Royton,Labour,Michael Meacher,@michaelmeacher
"Berwickshire, Roxburgh and Selkirk",Liberal Democrats,Michael Moore,@Moore4Borders
Angus,SNP,Michael Weir,@mikeweirsnp
Fermanagh and South Tyrone,Sinn Fein,Michelle Gildernew,@gildernewmp
Finchley and Golders Green,Conservative,Mike Freer,@mikefreer
Ilford South,Labour,Mike Gapes,@MikeGapes
Stratford-on-Avon,Conservative,Nadhim Zahawi,@nadhimzahawi
Mid Bedfordshire,Conservative,Nadine Dorries,@Nadine_MP
Belfast East,Alliance Party,Naomi Long,@naomi_long
"Sheffield, Hallam",Liberal Democrats,Nicholas Clegg,@nick_clegg
Scunthorpe,Labour,Nicholas Dakin,@NicDakinMP
North Devon,Liberal Democrats,Nick Harvey,@NickHarveyND
Arundel and South Downs,Conservative,Nick Herbert,@nickherbertmp
Ruislip - Northwood,Conservative,Nick Hurd,@nickhurdmp
Blaenau Gwent,Labour,Nick Smith,@NickSmith4BG
Enfield North,Conservative,Nick de Bois,@nickdebois
Loughborough,Conservative,Nicky Morgan,@NickyMorgan01
Oxford West and Abingdon,Conservative,Nicola Blackwood,@nicolablackwood
Selby,Conservative,Nigel Adams,@nigel4selby
Belfast North,DUP,Nigel Dodds,@NigelDoddsMP
North Norfolk,Liberal Democrats,Norman Lamb,@normanlamb
Airdrie and Shotts,Labour,Pamela Nash,@pamela_nash
Wolverhampton South East,Labour,Pat McFadden,@patmcfaddenmp
Sutton and Cheam,Liberal Democrats,Paul Burstow,@PaulBurstow
Newport West,Labour,Paul Flynn,@Paulflynnmp
Mid Derbyshire,Conservative,Pauline Latham,@Pauline_Latham
Perth and Perthshire North,SNP,Pete Wishart,@Petewishart
Neath,Labour,Peter Hain,@PeterHain
Mid Worcestershire,Conservative,Peter Luff,@PeterJLuff
Shipley,Conservative,Philip Davies,@PhilipDaviesMP
Shipley,Conservative,Philip Davies,@PhilipDavies422
Leeds West,Labour,Rachel Reeves,@_RachelReeves_
